keyword,decision,revised_keyword,original_function_name,revised_function_name,equipment_category_large,equipment_category_middle,ai_confidence,miner_confidence,evidence_template,company_count,source_match_count,equipment_count,hub_count,source_fields,reason,evidence_summary,risk_note,diversity_tags,source_examples,equipment_examples
밸런스,revise,다이나믹 밸런스,밸런스 관련 장비 검증,다이나믹 밸런스 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.685,0.685,"1개 기업의 다이나믹 밸런스 관련 제품과 물리적 측정장비 내 2개 장비가 일치하며, 녹산단지 거점도 포함됩니다.",1,2,2,1,"btp_support_history.main_product, btp_support_history.support_item","'밸런스' 단어 자체가 광범위하고 중의적이어서, 소스와 장비 매칭 기반으로 '다이나믹 밸런스'로 구체적으로 수정하는 것이 명확함.",밸런스 키워드는 1개 기업과 2개 물리적측정장비 실체가 있어 '다이나믹 밸런스'로 한정하면 품질 향상 가능.,단순 '밸런스'로 규칙 운영시 다양한 비관련 노이즈가 늘어날 위험 존재.,"힘측정, 진단장비, 정밀계측",기업 #1786#1786 | btp_support_history.main_product | 다이나믹 밸런스 || 기업 #1786#1786 | btp_support_history.support_item | 다이나믹 밸런스,맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지 || 맨발 족저압력 및 보행분석 시스템#232 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지
사다리,drop,,사다리 관련 장비 검증,,환경조성/생산/사육시설장비,이동형시설장비,0.685,0.685,"1개 기업과 관련 소스에만 사다리 관련 용어가 있으나, 관련 장비는 사다리와 직접 연결되지 않아 노이즈 우려가 큽니다.",1,2,2,1,"btp_support_history.main_product, btp_support_history.support_item","'사다리' 키워드는 장비 예시와 직접 연관성이 낮으며, 과도하게 넓은 개념이라 산업적 특수성이 떨어집니다.",기업 문헌에 사다리 관련 언급은 있으나 적합 장비 연계가 부재하여 키워드로 유지시 노이즈가 많을 것임.,범용어로 분류돼 부적합 매칭 가능성이 크므로 중복 위험 높음.,"생산시설, 이동형장비","기업 #2379#2379 | btp_support_history.main_product | 선박 파공방수패드, 원격 탈부착 사다리, 사다리 고정장치, 잔존유 배출장치, 화재 예방 제 || 기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리",이동식 드론 관제 차량#33 | 환경조성/생산/사육시설장비 > 이동형시설장비 > 연구용자동차 @ 지사단지 || 이동식 드론 관제 차량#262 | 환경조성/생산/사육시설장비 > 이동형시설장비 > 연구용자동차 @ 지사단지
튜브,revise,스테인리스 튜브,튜브 관련 장비 검증,튜브(스테인리스) 관련 장비 검증,광학/전자영상장비,방사선발생/측정장비,0.685,0.685,1개 기업의 '스테인리스강 튜브' 제품과 방사선발생 장비 2건에서 튜브 관련 용어가 확인되었습니다.,1,2,2,1,"btp_support_history.main_product, company.main_product",단순 '튜브'를 '스테인리스 튜브'로 구체화하여 기업 및 장비와 직접적인 매칭 연관성을 강화할 필요가 있음.,튜브 키워드는 관련 기업과 장비가 '스테인리스' 소재에 집중되어 있어 명확한 범위 설정이 요구됨.,광범위 '튜브' 단어는 다중 의미로 오탐 가능성이 높음.,"금속가공, 방사선측정, 소재","기업 #616#616 | btp_support_history.main_product | 스테인리스강 파이프&튜브, 이형단면재 || 기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",고정밀 CT 측정기#103 | 광학/전자영상장비 > 방사선발생/측정장비 > X-선발생기 @ 생곡단지 || 리크시험기#220 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 생곡단지
Butterfly,revise,Butterfly Valve,Butterfly 관련 장비 검증,버터플라이 밸브 관련 장비 검증,기계가공/시험장비,열유체장비,0.68,0.680,"1개 기업에서 'Butterfly Valve' 관련 용어가 2회 등장하며, 열유체 장비 1개와 매칭됩니다.",1,2,1,1,btp_support_history.main_product,'Butterfly'만으로는 모호하므로 'Butterfly Valve'로 구체화하여 밸브 관련 산업 장비와 정확히 연결할 필요가 있음.,기업과 장비 데이터가 버터플라이 밸브 제품으로 일치하여 정확도를 높임.,일반 단어 'Butterfly'만 사용 시 밸브 외 중복 노이즈 가능.,"밸브, 유체장비, 기계가공",기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,혼합 시스템#96 | 기계가공/시험장비 > 열유체장비 > 건조기 @ 일광단지
Check,drop,,Check 관련 장비 검증,,물리적측정장비,힘/토오크/압력/진공측정장비,0.68,0.680,"단일 단어 'Check'는 산업현장 용어로 너무 광범위하여 1개 기업, 1개 장비에서도 중복 가능성이 높습니다.",1,2,1,1,btp_support_history.main_product,"일상어에 가까운 'Check' 키워드는 산업 장비나 상품과의 직접적 일치도가 떨어지고, 노이즈 발생 우려가 크므로 드롭 권장.",텍스트 중복이 적고 오탐 위험이 커 정확한 산업군 판단이 어렵습니다.,범용 단어로 검색시 무관 키워드 대응 곤란.,"일반어, 측정장비",기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve || 기업 #1178#1178 | btp_support_history.main_product | Butterfly Valve Check Valve Sluice Valve,지면반력 센서#252 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지
체크밸브,keep,,체크밸브 관련 장비 검증,체크밸브 관련 장비 검증,물리적측정장비,유체특성측정장비,0.68,0.680,"1개 기업이 체크밸브 관련 제품을 보유하고, 유체특성 측정용 장비 1건과 직접 연결되어 있습니다.",1,2,1,1,btp_support_history.main_product,"체크밸브는 산업적으로 중요한 밸브 종류이며, 기업 제품과 유체특성 측정장비 예시가 매치됩니다.",체크밸브 키워드는 1개 기업의 유체 관련 장비와 확실한 연계를 보여 신뢰성 확보 가능.,키워드가 비교적 구체적이라 노이즈 우려가 낮음.,"유체장비, 밸브, 산업밸브","기업 #1178#1178 | btp_support_history.main_product | 버터플라이 밸브, 듀얼체크밸브, 체크밸브, 수문밸브 || 기업 #1178#1178 | btp_support_history.main_product | 버터플라이밸브, 체크밸브",가스 밸브 유동 시험장비#379 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 지사단지
파이프,revise,스테인리스강 파이프,파이프 관련 장비 검증,파이프(스테인리스강) 관련 장비 검증,화합물전처리/분석장비,분리분석장비,0.68,0.680,'스테인리스강 파이프' 관련 표현이 1개 기업 소스와 1개 분리분석장비에서 확인되어 공통성이 높습니다.,1,2,1,1,"btp_support_history.main_product, company.main_product",단순 '파이프' 키워드가 너무 광범위해 스테인리스강으로 한정해 기업과 장비 간의 정확한 매칭을 반영하는 게 타당함.,파이프 키워드는 소재까지 포함해 구체화하면 산업맞춤도가 향상됨.,일반어인 '파이프' 단독 사용 시 다중 의미 오탐 위험 존재.,"금속소재, 분석장비, 정밀분리","기업 #616#616 | btp_support_history.main_product | 스테인리스강 파이프&튜브, 이형단면재 || 기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",자동차용 실내 에어필터(cabin)의 가스오염물질 여과 성능평가 시스템#193 | 화합물전처리/분석장비 > 분리분석장비 > 가스크로마토그래피 @ 지사단지
측정,drop,,측정 관련 장비 검증,,임상의료장비,임상측정/진단장비,0.765,0.765,"1개 기업 소스와 112개 장비, 11개 거점에서 광범위하게 '측정' 관련 용어가 등장하나 너무 일반적입니다.",1,1,112,11,btp_support_history.main_product,"'측정'은 매우 포괄적이고 범용적인 용어로, 다양한 분야에 걸쳐 노출되어 키워드 역할에 부적절합니다.","거점과 장비 다수가 관련됨에도, 키워드로서는 너무 넓어 특정 기능 검증에 적합하지 않음.",과도한 일반화로 인한 대량 오탐 및 저품질 매칭 우려가 큽니다.,"임상, 진단, 일반장비","기업 #1786#1786 | btp_support_history.main_product | 기능성 깔창, 균형 능력 측정 장비",미세먼지 간이측정기 반복재현성 평가 장비#5 | 화합물전처리/분석장비 > 입자분석장비 > 입도분석기 @ 지사단지 || 완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 동적 특성기#19 | 전기/전자장비 > 측정시험장비 > 전압/전류/전력측정시험장비 @ 지사단지 || 주행차량 전자파 내성 측정 시스템#22 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지 || 휴대용 운동생리학적 신발 칼로리분석 시스템#25 | 임상의료장비 > 임상측정/진단장비 > 호흡기측정/진단장비 @ 녹산단지
금속,keep,,재료물성시험,재료물성시험,기계가공/시험장비,재료물성시험장비,0.695,0.695,"{sourceField}에서 기업 1곳, 관련 데이터 61대, 8개 거점에서 '금속' 관련 시험장비와 기능이 확인되었습니다.",1,1,61,8,company.main_product,"장비 수와 거점이 많고, 기업 정보와 직접 연관된 재료물성시험 장비로 적용 가능하여 전문성이 높음.",금속 관련 재료물성시험장비가 다양한 거점과 장비 수를 통해 충분히 검증됨.,'금속'은 범용 키워드지만 관련 장비 및 기업 매칭이 명확하여 유지함.,"재료시험, 기계장비, 금속공학","기업 #616#616 | company.main_product | 금속냉간가공(튜브,파이프,고정밀부품 외), 금속가공기술개발",미세먼지 간이측정기 등가성 평가장비#6 | 기계가공/시험장비 > 재료물성시험장비 > 분진시험기 @ 지사단지 || 비틀림시험기#24 | 기계가공/시험장비 > 재료물성시험장비 > 만능피로시험기 @ 지사단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 인장시험기#32 | 기계가공/시험장비 > 재료물성시험장비 > 만능시험기 @ 지사단지 || 열충격 시험기#74 | 기계가공/시험장비 > 재료물성시험장비 > 열충격시험기 @ 장안단지
데이터,revise,데이터 처리 장비,데이터 관련 장비 검증,데이터 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.765,0.765,"BTP 지원 내역 {sourceField}에서 데이터 핵심어가 1개 기업과 9개 거점, 58대 측정장비와 함께 발견되었습니다.",1,1,58,9,btp_support_history.support_item,'데이터' 키워드는 범위가 넓어 노이즈 가능성 존재. 장비 연결성을 고려해 '데이터 처리 장비'로 구체화 권장.,측정 및 물리적 데이터 관련 장비와 기업 매칭이 있으나 범용성으로 인해 세분화 필요.,'데이터' 단어가 너무 광범위해 관련 없는 매칭을 유발할 위험 있음.,"데이터검증, 측정장비, 물리측정",기업 #1786#1786 | btp_support_history.support_item | Dynamic Balance 데이터 및 할룩스 매직 인솔을 활용한 운동 APP 시제품 개발,엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지 || 초고화질 영상촬영 시스템#43 | 광학/전자영상장비 > 카메라/영상처리장비 > 디지털카메라 @ 지사단지 || 인지 자극 측정 시스템#64 | 임상의료장비 > 임상측정/진단장비 > 달리 분류되지 않는 임상측정/진단장비 @ 엄궁단지
구성,drop,,구성 관련 장비 검증,,기계가공/시험장비,자동화/이송 장비,0.765,0.765,,1,1,52,10,btp_support_history.main_product,'구성' 단어는 범용적이고 구체적 의미가 부족해 혼란 가능성이 큼.,기업 명칭과 제품명 에서만 1회 발견되었으나 명확한 기술 분야와 장비 매칭 부족.,너무 광범위해 노이즈 증가 우려 있어 규칙에서 제외 권장.,"광범위, 불명확",기업 #2379#2379 | btp_support_history.main_product | 선박 구성 부분품,"CDM 시험기#13 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 장전단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 가습기, 제습기,히터, Heat Pump 평가설비#30 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 산업용 드론 플랫폼 회전익 소형#37 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 마이크로스코프#42 | 기계가공/시험장비 > 반도체장비 > 광학검사기 @ 장전단지"
영상,keep,,정밀 관찰/영상분석,정밀 관찰/영상분석,광학/전자영상장비,,0.765,0.765,기업 {sourceField}에서 영상 관련 정밀 관찰용 광학/전자영상장비 48대가 11개 거점에서 널리 활용되는 것으로 확인되었습니다.,1,1,48,11,btp_support_history.main_product,명확한 장비 분류와 광학 영상 분야 연계로 산업적 활용도와 전문성 확보됨.,영상 관련 다양한 광학장비 예시와 다수 거점에서 관련 기업 확인됨.,범용 단어이나 장비 카테고리와 결합되어 정확도 유지 가능.,"영상분석, 광학장비, 정밀측정","기업 #2080#2080 | btp_support_history.main_product | 영상감시장치, 선박구성부분품",광학현미경#4 | 광학/전자영상장비 > 현미경 > 광학현미경 @ 장림단지 || 공초점현미경#18 | 광학/전자영상장비 > 현미경 > 공초점현미경 @ 장림단지 || 적외선열화상카메라#20 | 광학/전자영상장비 > 카메라/영상처리장비 > 열화상카메라 || 현미경#28 | 광학/전자영상장비 > 현미경 > 디지털현미경 @ 장전단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지
카메라,revise,광학/전자영상 카메라,카메라 관련 장비 검증,정밀 관찰/영상분석,광학/전자영상장비,,0.765,0.765,{sourceField} 내 카메라 관련 기업 1곳과 48대의 광학 및 영상 카메라 장비가 11개 거점에서 일치합니다.,1,1,36,7,btp_support_history.support_item,'카메라'라는 단어가 매우 광범위하므로 광학/영상 카메라로 한정해 정확성을 높임.,"기업 및 장비 매칭은 확실하나, 일반 단어 특성상 구체화 필요.",단독으로 쓰면 영상 외 불필요 포함 우려 있음.,"광학카메라, 영상장비, 정밀관찰",기업 #2080#2080 | btp_support_history.support_item | 3축 동요 안정기가 적용된 해상 충돌 방지 시스템용 주야간 감시 카메라 시제품 및 특허 지원,산업용 드론 플랫폼_회전익_소형#3 | 기계가공/시험장비 > 자동화/이송 장비 > 로봇 @ 지사단지 || 의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지 || 산업용 드론 플랫폼 회전익 소형#37 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 마이크로스코프#42 | 기계가공/시험장비 > 반도체장비 > 광학검사기 @ 장전단지
카메라,drop,,카메라 관련 장비 검증,,기계가공/시험장비,자동화/이송 장비,0.765,0.765,,1,1,36,7,btp_support_history.support_item,동일 키워드이나 장비 분류 '자동화/이송 장비'와 부적합하여 혼선을 초래함.,장비 예시와 기업 문구 간 연관성이 부족하여 구분이 필요함.,중복과 불분명한 연관성으로 인한 노이즈 가능성 높음.,"혼선예상, 중복",기업 #2080#2080 | btp_support_history.support_item | 3축 동요 안정기가 적용된 해상 충돌 방지 시스템용 주야간 감시 카메라 시제품 및 특허 지원,산업용 드론 플랫폼_회전익_소형#3 | 기계가공/시험장비 > 자동화/이송 장비 > 로봇 @ 지사단지 || 의료기기 사용적합성 평가실#15 | 임상의료장비 > 임상진단영상장비 > 달리 분류되지 않는 임상진단영상장비 @ 다대단지 || 동영상 3차원 계측 및 동작분석 하이스피드카메라#36 | 광학/전자영상장비 > 카메라/영상처리장비 > 기타특수카메라 @ 녹산단지 || 산업용 드론 플랫폼 회전익 소형#37 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 마이크로스코프#42 | 기계가공/시험장비 > 반도체장비 > 광학검사기 @ 장전단지
가능한,drop,,가능한 관련 장비 검증,,기계가공/시험장비,자동화/이송 장비,0.765,0.765,,1,1,33,10,btp_support_history.support_item,기술적 기능보다는 보편적 형용사로 장비 검증과 매칭에 적합하지 않음.,기업 및 장비 매칭 1회 있으나 기능식별 불가로서 제외 권고.,검색 결과에 의미 없는 노이즈를 유발할 위험 있음.,"불명확, 자동차용어",기업 #2379#2379 | btp_support_history.support_item | 원격 조종이 가능한 선박 승하선 사다리,완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 산업용 드론 플랫폼 회전익 중형#69 | 기계가공/시험장비 > 자동화/이송 장비 > 비행장비 @ 지사단지 || 디캡 스테이션#93 | 기계가공/시험장비 > 반도체장비 > 달리 분류되지 않는 반도체장비 @ 장전단지 || 고정밀 CT 측정기#103 | 광학/전자영상장비 > 방사선발생/측정장비 > X-선발생기 @ 생곡단지 || 공기 초가속 수명 시험기#128 | 기계가공/시험장비 > 재료물성시험장비 > 가속수명시험기 @ 장전단지
IoT,keep,,데이터/실감형 콘텐츠 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.695,0.695,{sourceField} 내에서 IoT 관련 1개 기업과 29대 데이터처리 장비가 7개 거점에 배치된 사례 분석으로 확인됩니다.,1,1,29,7,company_ntis_lead_project.project_name,명확한 첨단 기술 영역으로 관련 장비 및 기업 매칭이 객관적으로 입증됨.,IoT 관련 프로젝트와 서버 등 장비 분류가 일치하며 충분한 사례 확보.,기술 특화어로서 광의의 데이터보다는 특성을 반영해 유지 필요.,"IoT, 데이터처리, 실감콘텐츠",기업 #1049#1049 | company_ntis_lead_project.project_name | IoT기반지능형항만물류기술개발(R&D),엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어
VR,keep,,데이터/실감형 콘텐츠 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.695,0.695,{sourceField}에서 VR 관련 1개 기업의 실감형 콘텐츠와 29대 데이터처리 장비가 7개 거점에서 확인됩니다.,1,1,29,7,btp_support_history.main_product,특수 분야인 VR 장비와 콘텐츠 관련 매칭이 명확하며 장비 수와 거점 활용도도 높음.,VR 제품군과 데이터처리 장비 매칭이 명확하게 드러남.,실감형 콘텐츠 검증에 적합한 세부 기능으로 활용 가능.,"VR, 실감형콘텐츠, 데이터장비","기업 #1049#1049 | btp_support_history.main_product | VR교육훈련장비, VR콘텐츠, AR/VR 시뮬레이터",엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어
소프트웨어,revise,소프트웨어 개발 및 검증,데이터/실감형 콘텐츠 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.765,0.765,{sourceField}에서 소프트웨어 개발 기업 1개와 데이터처리 장비 29대가 7개 거점에서 운영 중인 것으로 확인되었습니다.,1,1,29,7,company.main_product,'소프트웨어' 단어 자체가 매우 광범위하므로 개발 및 검증으로 범위를 좁혀 전문성을 높임.,기업 문구와 장비 연관성이 있으나 광의성 최소화를 위해 세분화 필요.,범용어로 노이즈 발생 우려가 있어 명확한 기능명을 권장.,"소프트웨어, 개발, 데이터검증",기업 #1049#1049 | company.main_product | 관제장비 및 주변장치/소프트웨어개발 및 유지보수,엔지니어링 협업 시스템#9 | 데이터처리장비 > 하드웨어 > 서버 @ 다대단지 || 주조성형해석프로그램#27 | 데이터처리장비 > 장비소프트웨어 > 계측/분석소프트웨어 @ 지사단지 || 논리설계 검증 소프트웨어#44 | 데이터처리장비 > 장비소프트웨어 > 연구장비기반소프트웨어 @ 지사단지 || 산업안전빅데이터플랫폼#52 | 데이터처리장비 > 하드웨어 > 서버 @ 수안단지 || 5G기반 드론 통합 관제 시스템#88 | 데이터처리장비 > 하드웨어 > 달리 분류되지 않는 하드웨어
시뮬레이터,revise,AR/VR 시뮬레이터,시뮬레이터 관련 장비 검증,데이터/실감형 콘텐츠 검증,데이터처리장비,,0.765,0.695,"기업/지원 데이터에서 1개 기업이 AR/VR 시뮬레이터 관련 제품을, 총 29개 데이터처리장비와 7개 거점에서 확인하였습니다.",1,1,6,5,btp_support_history.main_product,'시뮬레이터'는 너무 광범위해 AR/VR 시뮬레이터로 구체화하여 관련성이 높은 장비군과 매칭하도록 조정함.,"기업 1곳이 AR/VR 시뮬레이터를 명시했고, 관련 데이터처리장비 29개가 분포함.",너무 광범위할 경우 비관련 검색 유입 가능성이 크므로 구체 키워드로 조정 필요.,"데이터처리장비, AR/VR, 실감형콘텐츠","기업 #1049#1049 | btp_support_history.main_product | VR교육훈련장비, VR콘텐츠, AR/VR 시뮬레이터",전자기 시뮬레이터#35 | 전기/전자장비 > 분석장비 > 신호분석기 @ 엄궁단지 || 250kW 모터 다이나모 시스템#165 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 동력계 @ 생곡단지 || 리크시험기#220 | 물리적측정장비 > 유체특성측정장비 > 유량계/수량계 @ 생곡단지 || 해외규격인증 개인착용형 호흡기 보호구(PPE) 시험 시스템#255 | 기계가공/시험장비 > 달리 분류되지 않는 기계가공/시험장비 > x @ 지사단지 || 위성영상 교육용 시뮬레이터 서버 가상화시스템#347 | 데이터처리장비 > 하드웨어 > 서버 @ 영도단지
방사,revise,전자파 방사,전자파시험(EMC),전자파시험(EMC),전기/전자장비,측정시험장비,0.765,0.765,"기업/지원 데이터에서 1개 기업이 '방사' 용어를 전자파시험 관련 프로젝트명으로 활용하였으며, 25대 측정시험장비가 2개 거점에서 운용 중입니다.",1,1,25,2,company_ntis_lead_project.project_name,"'방사' 단어가 너무 일반적이고, 전자파 방사로 구체화해 시험 장비 분류와 일치시킴.","전자파시험 관련 전기·전자 측정시험장비 25대가 존재하며, 프로젝트명에 전자파 관련 '방사'가 포함됨.",너무 일반어는 오탐 발생 가능성이 커 명확한 분야 용어 사용 권장.,"전자파시험, EMC, 측정장비","기업 #1049#1049 | company_ntis_lead_project.project_name | 민군기술협력(R&D)(산업부,방사청)",정전기 내성시험 시스템#21 | 전기/전자장비 > 측정시험장비 > 절연/누설/정전기측정시험장비 @ 지사단지 || 주행차량 전자파 내성 측정 시스템#22 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지 || 고주파 RF 파워증폭기#29 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지 || 과도시험 시스템(CTE/CTI)#54 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 지사단지 || 완성차 방사내성 시험(RS)시험 시스템#55 | 전기/전자장비 > 측정시험장비 > 전자파측정시험장비 @ 지사단지
보행,revise,보행 의료기기 사용성 평가,보행 관련 장비 검증,의료기기 사용성/성능평가,임상의료장비,,0.765,0.740,"기업/지원 데이터에서 1개 기업이 고령자 맞춤형 보행 보조 의료기기 개발을 지원받았으며, 임상의료장비 24종이 3개 거점에서 활용 중입니다.",1,1,15,2,btp_support_history.support_item,'보행'만으로 광범위하므로 의료기기 사용성 평가 문맥으로 좁혀 정확성 향상 필요.,기업 지원 사례와 임상의료장비의 직접 연결성 명확함.,너무 포괄적일 경우 문맥 불일치 및 노이즈 증가 우려 있음.,"의료기기, 보행분석, 임상의료장비",기업 #1786#1786 | btp_support_history.support_item | 보행 시 발 아치 능동적 교정 및 신체 압력 중심 이동 궤적 개선을 통한 고령자 맞춤형 발바닥 근육 강화 인솔 개발,완제품 및 인체영향 성능평가 시험환경#10 | 환경조성/생산/사육시설장비 > 환경조성형시설장비 > 사용환경모사시설장비 @ 녹산단지 || 야외 활동 시험용 3차원 무선 모션캡쳐 시스템#110 | 물리적측정장비 > 길이/위치/자세측정장비 > 달리 분류되지 않는 길이/위치/자세측정장비 @ 녹산단지 || 전동높이조절 계단훈련 장비#120 | 임상의료장비 > 전문의학용특수장비 > 달리 분류되지 않는 전문의학용특수장비 @ 다대단지 || 기초 체력 측정 시스템#122 | 임상의료장비 > 임상측정/진단장비 > 근전도측정/진단장비 @ 다대단지 || 적외선 디지털 3차원 인간-신발 동작분석 시스템#125 | 광학/전자영상장비 > 카메라/영상처리장비 > 모션캡쳐카메라 @ 녹산단지
성능,drop,,성능 관련 장비 검증,,,,0.765,0.765,,1,1,23,5,btp_support_history.support_item,'성능'은 광범위하고 애매하여 구체적 성능평가 또는 기능별 키워드로 대체 필요; 현재 노이즈 유발 가능성 큼.,단일 기업 지원 항목 및 광범위한 장비군 제외하면 직접적 연관성 부족.,광범위 키워드는 무분별한 노이즈 유입 및 매칭 정확도 저하 문제 야기.,,기업 #2379#2379 | btp_support_history.support_item | 파공 방수패드 장비의 성능 개선 및 제작,"20리터회전식감압농축기#2 | 화합물전처리/분석장비 > 분리정제장비 > 증류/농축기 @ 일광단지 || CDM 시험기#13 | 전기/전자장비 > 측정시험장비 > 달리 분류되지 않는 측정시험장비 @ 장전단지 || 동적하중 만능재료시험기#26 | 기계가공/시험장비 > 재료물성시험장비 > 진동내구시험장비 @ 지사단지 || 가습기, 제습기,히터, Heat Pump 평가설비#30 | 기계가공/시험장비 > 열유체장비 > 열교환기 @ 지사단지 || 후면 그라인더#41 | 기계가공/시험장비 > 반도체장비 > 가공/리페어/절단장비 @ 장전단지"
압력,keep,,압력 관련 장비 검증,압력 관련 장비 검증,물리적측정장비,힘/토오크/압력/진공측정장비,0.765,0.765,"기업/지원 데이터에서 1개 기업이 보행 시 발 압력 분석 제품 개발을 지원받았고, 관련 물리적 압력 측정장비가 23대 7개 거점에서 활용됩니다.",1,1,23,7,btp_support_history.support_item,'압력'은 특정 물리적측정장비 카테고리와 잘 맞아 전문적으로 활용도 높음.,기업 사례와 실제 장비 구성 및 분포가 일치함.,구체적 측정장비군과 맞물려 노이즈 적음.,"압력측정, 물리적측정장비, 보행분석",기업 #1786#1786 | btp_support_history.support_item | 보행 시 발 아치 능동적 교정 및 신체 압력 중심 이동 궤적 개선을 통한 고령자 맞춤형 발바닥 근육 강화 인솔 개발,퓨리에 변환 적외선 분광기#87 | 화합물전처리/분석장비 > 분광분석장비 > 푸리에변환적외선분광기 || 야외 활동 시험용 3차원 무선 모션캡쳐 시스템#110 | 물리적측정장비 > 길이/위치/자세측정장비 > 달리 분류되지 않는 길이/위치/자세측정장비 @ 녹산단지 || 필름형 압력 측정 장비#111 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 휴대용 지면반력 측정 장비#131 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 다대단지 || 맨발 족저압력 및 보행분석 시스템#141 | 물리적측정장비 > 힘/토오크/압력/진공측정장비 > 달리 분류되지 않는 힘/토오크/압력/진공 측정장비 @ 녹산단지
